CommonName,species,Order,Family,Body_mass_g,Radar ,Distance_m,Time,,,,,
Le Conte's Sparrow,Ammospiza_leconteii,Passeriformes,Emberizidae,13,6.01,2266.17,,,,,17,
Connecticut Warbler,Oporornis_agilis,Passeriformes,Parulidae,13.3,6.11,6570.17,,,,,11,
Willow Flycatcher,Empidonax_traillii,Passeriformes,Tyrannidae,13.39,6.14,4267.02,nocturnal,,,,34,
Eastern Wood-Pewee,Contopus_virens,Passeriformes,Tyrannidae,13.9,6.3,4899.47,nocturnal,,,,12,
Kentucky Warbler,Geothlypis_formosa,Passeriformes,Parulidae,14,6.33,2340.57,nocturnal,,,,32,
Northern Rough-winged Swallow,Stelgidopteryx_serripennis,Passeriformes,Hirundinidae,14,NA,NA,diurnal,,,,26,
Worm-eating Warbler,Helmitheros_vermivorum,Passeriformes,Parulidae,14.16,6.38,2089.97,,,,,37,
Prothonotary Warbler,Protonotaria_citrea,Passeriformes,Parulidae,14.3,6.43,2636.7,nocturnal,,,,,
Indigo Bunting,Passerina_cyanea,Passeriformes,Emberizidae,14.69,6.55,2355.7,nocturnal,,night,,,
Nelson's Sparrow,Ammospiza_nelsoni,Passeriformes,Emberizidae,15.11,6.68,2357.9,,,,,,
Blue-headed Vireo,Vireo_solitarius,Passeriformes,Vireonidae,15.3,6.74,2721.66,nocturnal,,,,,
Painted Bunting,Passerina_ciris,Passeriformes,Emberizidae,15.54,6.81,1681.98,,,,,,
Red-eyed Vireo,Vireo_olivaceus,Passeriformes,Vireonidae,16.06,6.97,2688.07,nocturnal,,,,,
Swamp Sparrow,Melospiza_georgiana,Passeriformes,Emberizidae,16.1,6.98,1940.43,,,,,,
Northern Waterthrush,Parkesia_noveboracensis,Passeriformes,Parulidae,16.3,7.05,4953.04,nocturnal,,,,,
Lincoln's Sparrow,Melospiza_lincolnii,Passeriformes,Emberizidae,16.6,7.14,2657.3,,,,,,
Grasshopper Sparrow,Ammodramus_savannarum,Passeriformes,Emberizidae,17.61,7.44,1487.75,,,,,,
Yellow-throated Vireo,Vireo_flavifrons,Passeriformes,Vireonidae,18,7.55,2772.73,nocturnal,,,,,
Barn swallow,Hirundo_rustica           ,Passeriformes,Hirundinidae,18.5,NA,6918,diurnal,,,,,
Ovenbird,Seiurus_aurocapilla,Passeriformes,Parulidae,18.8,7.79,3157.95,nocturnal,,,,,
Swainson's Warbler,Limnothlypis_swainsonii,Passeriformes,Parulidae,18.9,7.81,1508.76,,,,,,
Saltmarsh Sparrow,Ammodramus_savannarum,Passeriformes,Emberizidae,19.19,7.9,1487.75,,,night,,,
Orchard Oriole,Icterus_spurius,Passeriformes,Icteridae,19.44,7.97,2596.97,nocturnal,,,,,
Eastern Phoebe,Sayornis_phoebe,Passeriformes,Tyrannidae,19.7,8.04,1805.94,diurnal,,,,,
Louisiana Waterthrush,Parkesia_motacilla,Passeriformes,Parulidae,19.9,8.1,2460.01,,,,,,
Savannah Sparrow,Passerculus_sandwichensis,Passeriformes,Emberizidae,19.97,8.12,2529.23,,,,,,
Tree Swallow,Tachycineta_bicolor       ,Passeriformes,Hirundinidae,20.5,NA,2930 ,diurnal,,,,,
Song Sparrow,Melospiza_melodia,Passeriformes,Emberizidae,21.91,8.66,830.87,,,,,,
Seaside Sparrow,Ammodramus_savannarum,Passeriformes,Emberizidae,22.16,8.73,1487.75,,,,,,
Least Sandpiper,Calidris_minutilla,Charadriiformes,Scolopacidae,22.88,8.93,6193.25,,,,,,
Hooded Oriole,Icterus_cucullatus,Passeriformes,Icteridae,24.3,9.32,1185.49,,,,,,
White-throated Sparrow,Zonotrichia_albicollis,Passeriformes,Emberizidae,24.4,9.34,1880.47,,,,,,
Yellow-breasted Chat,Icteria_virens,Passeriformes,Parulidae,24.89,9.47,2577.16,nocturnal,,,,,
Vesper Sparrow,Pooecetes_gramineus,Passeriformes,Emberizidae,25.68,9.68,1761.53,,,,,,
Dickcissel,Spiza_americana,Passeriformes,Cardinalidae,26.18,9.81,3811.9,,,,,,
