Species,Common name,Diet,Flyway,S
Setophaga_discolor,Prairie Warbler,Insectivore,e,1
Setophaga_dominica,Yellow-throated Warbler,Insectivore,e,1
Setophaga_fusca,Blackburnian Warbler,Insectivore,e,1
Setophaga_magnolia,Magnolia Warbler,Insectivore,e,1
Setophaga_nigrescens,Black-throated Gray Warbler,Insectivore,w,1
Setophaga_occidentalis,Hermit Warbler,Insectivore,w,1
Setophaga_palmarum,Palm Warbler,Insectivore,e,1
Setophaga_pensylvanica,Chestnut-sided Warbler,Insectivore,e,1
Setophaga_petechia,Yellow Warbler,Insectivore,a,1
Setophaga_pinus,Pine Warbler,Insectivore,e,1
Setophaga_ruticilla,American Redstart,Insectivore,e,1
Setophaga_striata,Blackpoll Warbler,Insectivore,e,1
Setophaga_tigrina,Cape May Warbler,Insectivore,e,1
Setophaga_townsendi,Townsend's Warbler,Insectivore,w,1
Setophaga_virens,Black-throated Green Warbler,Insectivore,e,1
Sialia_currucoides,Mountain Bluebird,Insectivore,w,1
Spatula_clypeata,Northern Shoveler,Insectivore,a,1
Spatula_discors,Blue-winged Teal,Herbivore,a,1
Sphyrapicus_nuchalis,Red-naped Sapsucker,Omnivore,w,1
Sphyrapicus_thyroideus,Williamson's Sapsucker,Omnivore,w,1
Sphyrapicus_varius,Yellow-bellied Sapsucker,Omnivore,e,1
Spinus_lawrencei,Lawrence's Goldfinch,Granivore,w,1
Spiza_americana,Dickcissel,Granivore,c,1
Spizella_breweri,Brewer's Sparrow,Omnivore,w,1
Spizella_pallida,Clay-colored Sparrow,Granivore,a,1
Spizella_passerina,Chipping Sparrow,Granivore,a,1
Spizelloides_arborea,American Tree Sparrow,Omnivore,e,1
Stelgidopteryx_serripennis,Northern Rough-winged Swallow,Insectivore,a,1
Sturnella_neglecta,Western Meadowlark,Omnivore,w,1
Tachycineta_bicolor,Tree Swallow,Insectivore,a,1
Tachycineta_thalassina,Violet-green Swallow,Insectivore,w,1
Toxostoma_rufum,Brown Thrasher,Omnivore,e,1
Tringa_flavipes,Lesser Yellowlegs,Insectivore,a,1
Tringa_melanoleuca,Greater Yellowlegs,Insectivore,a,1
Tringa_semipalmata,Willet,Insectivore,a,1
Tringa_solitaria,Solitary Sandpiper,Insectivore,e,1
Troglodytes_aedon      ,House wren,Insectivore,NA,NA
Troglodytes_hiemalis,Winter Wren,Insectivore,e,1
Tyrannus_forficatus,Scissor-tailed Flycatcher,Insectivore,c,1
Tyrannus_tyrannus,Eastern Kingbird,Insectivore,a,1
Tyrannus_verticalis,Western Kingbird,Insectivore,w,1
Vermivora_chrysoptera,Golden-winged Warbler,Insectivore,e,1
Vermivora_cyanoptera,Blue-winged Warbler,Insectivore,e,1
Vireo_atricapilla,Black-capped Vireo,Insectivore,c,1
Vireo_bellii,Bell's Vireo,Insectivore,c,1
Vireo_cassinii,Cassin's Vireo,Insectivore,w,1
Vireo_flavifrons,Yellow-throated Vireo,Insectivore,e,1
Vireo_gilvus,Warbling Vireo,Insectivore,a,1
Vireo_griseus,White-eyed Vireo,Insectivore,e,1
Vireo_olivaceus        ,Red-eyed Vireo,Insectivore,NA,NA
Vireo_philadelphicus,Philadelphia Vireo,Insectivore,e,1
Vireo_plumbeus,Plumbeous Vireo,Insectivore,w,1
Vireo_solitarius,Blue-headed Vireo,Insectivore,e,1
Vireo_vicinior,Gray Vireo,Insectivore,w,1
Xanthocephalus_xanthocephalus,Yellow-headed Blackbird,Insectivore,w,1
Zonotrichia_albicollis,White-throated Sparrow,Herbivore-Granivore,e,1
Zonotrichia_atricapilla,Golden-crowned Sparrow,Granivore,w,1
Zonotrichia_leucophrys,White-crowned Sparrow,Granivore,a,1
Zonotrichia_querula,Harris's Sparrow,Granivore,c,1
