"","year","cell","cell_lat","cell_lng","gr_mn","gr_ncell"
"90",2001,456,54.4698108402384,-76.3844141714906,151.59,295462
"91",2001,457,53.8859907753789,-71.7789700555473,153.59,193536
"92",2001,458,53.2388714925916,-67.3423905775867,159.16,188001
"93",2001,459,52.4760271186579,-63.0790925160261,157.82,286839
"94",2001,460,51.5803101292814,-58.9961426355996,158.08,247423
"95",2001,480,50.792539106732,-91.6792567259505,147.81,352366
"96",2001,481,51.4938874414535,-87.5203091514508,143.34,424983
"97",2001,482,52.1097053449361,-83.2096034489448,144.98,411070
"98",2001,483,52.7200137849638,-78.7499999981921,149.05,236040
"99",2001,484,52.1097053454471,-74.290396548319,150.61,323271
"100",2001,485,51.4938874422685,-69.9796908455765,149.63,267504
"101",2001,486,50.7925391077615,-65.8207432708014,149.05,239495
