Species,Common name,Order,Included,Mig Pace (days / deg latitude),Arr date (ordinal date),Overwinterlatitude,PC1,species
Regulus satrapa,Golden-crowned Kinglet,Passeriformes,No,NA,NA,NA,NA,Regulus_satrapa
Regulus calendula,Ruby-crowned Kinglet,Passeriformes,No,NA,NA,NA,NA,Regulus_calendula
Sialia sialis,Eastern Bluebird,Passeriformes,No,NA,NA,NA,NA,Sialia_sialis
Catharus minimus,Gray-cheeked Thrush,Passeriformes,No,NA,NA,NA,NA,Catharus_minimus
Catharus bicknelli,Bicknell's Thrush,Passeriformes,No,NA,NA,NA,NA,Catharus_bicknelli
Catharus ustulatus,Swainson's Thrush,Passeriformes,No,NA,NA,NA,NA,Catharus_ustulatus
Catharus guttatus,Hermit Thrush,Passeriformes,No,NA,NA,NA,NA,Catharus_guttatus
Turdus migratorius,American Robin,Passeriformes,No,NA,NA,NA,NA,Turdus_migratorius
Mimus polyglottos,Northern Mockingbird,Passeriformes,No,NA,NA,NA,NA,Mimus_polyglottos
Bombycilla cedrorum,Cedar Waxwing,Passeriformes,No,NA,NA,NA,NA,Bombycilla_cedrorum
Spinus tristis,American Goldfinch,Passeriformes,No,NA,NA,NA,NA,Spinus_tristis
Peucaea aestivalis,Bachman's Sparrow,Passeriformes,No,NA,NA,NA,NA,Peucaea_aestivalis
Spizelloides arborea,American Tree Sparrow,Passeriformes,No,NA,NA,NA,NA,Spizelloides_arborea
Passerella iliaca,Fox Sparrow,Passeriformes,No,NA,NA,NA,NA,Passerella_iliaca
Junco hyemalis,Dark-eyed Junco,Passeriformes,No,NA,NA,NA,NA,Junco_hyemalis
Zonotrichia leucophrys,White-crowned Sparrow,Passeriformes,No,NA,NA,NA,NA,Zonotrichia_leucophrys
Zonotrichia albicollis,White-throated Sparrow,Passeriformes,No,NA,NA,NA,NA,Zonotrichia_albicollis
Pooecetes gramineus,Vesper Sparrow,Passeriformes,No,NA,NA,NA,NA,Pooecetes_gramineus
Passerculus sandwichensis,Savannah Sparrow,Passeriformes,No,NA,NA,NA,NA,Passerculus_sandwichensis
Melospiza lincolnii,Lincoln's Sparrow,Passeriformes,No,NA,NA,NA,NA,Melospiza_lincolnii
Melospiza georgiana,Swamp Sparrow,Passeriformes,No,NA,NA,NA,NA,Melospiza_georgiana
Sturnella magna,Eastern Meadowlark,Passeriformes,No,NA,NA,NA,NA,Sturnella_magna
Agelaius phoeniceus,Red-winged Blackbird,Passeriformes,No,NA,NA,NA,NA,Agelaius_phoeniceus
Euphagus carolinus,Rusty Blackbird,Passeriformes,No,NA,NA,NA,NA,Euphagus_carolinus
Quiscalus quiscula,Common Grackle,Passeriformes,No,NA,NA,NA,NA,Quiscalus_quiscula
Parkesia noveboracensis,Northern Waterthrush,Passeriformes,No,NA,NA,NA,NA,Parkesia_noveboracensis
Vermivora chrysoptera,Golden-winged Warbler,Passeriformes,No,NA,NA,NA,NA,Vermivora_chrysoptera
Limnothlypis swainsonii,Swainson's Warbler,Passeriformes,No,NA,NA,NA,NA,Limnothlypis_swainsonii
Oreothlypis peregrina,Tennessee Warbler,Passeriformes,No,NA,NA,NA,NA,Oreothlypis_peregrina
Oreothlypis celata,Orange-crowned Warbler,Passeriformes,No,NA,NA,NA,NA,Oreothlypis_celata
Oporornis agilis,Connecticut Warbler,Passeriformes,No,NA,NA,NA,NA,Oporornis_agilis
Geothlypis philadelphia,Mourning Warbler,Passeriformes,No,NA,NA,NA,NA,Geothlypis_philadelphia
Setophaga castanea,Bay-breasted Warbler,Passeriformes,No,NA,NA,NA,NA,Setophaga_castanea
Setophaga palmarum,Palm Warbler,Passeriformes,No,NA,NA,NA,NA,Setophaga_palmarum
Setophaga coronata,Yellow-rumped Warbler,Passeriformes,No,NA,NA,NA,NA,Setophaga_coronata
Cardellina canadensis,Canada Warbler,Passeriformes,No,NA,NA,NA,NA,Cardellina_canadensis
Cardellina pusilla,Wilson's Warbler,Passeriformes,No,NA,NA,NA,NA,Cardellina_pusilla
Spiza americana,Dickcissel,Passeriformes,No,NA,NA,NA,NA,Spiza_americana
Ammospiza nelsoni,Nelson's Sparrow,Passeriformes,No,NA,NA,NA,NA,Ammospiza_nelsoni
Ammospiza caudacuta,Saltmarsh Sparrow,Passeriformes,No,NA,NA,NA,NA,Ammospiza_caudacuta
